Actual Temperature,Predicted Temperature,Absolute Error
60.5625,59.549126,1.0133743
59.25,60.166706,0.9167061
58.5,59.975437,1.4754372
59.6875,59.397655,0.2898445
57.25,60.083908,2.833908
55.625,59.58635,3.9613495
62.0,59.006207,2.9937935
62.9375,59.548462,3.389038
57.125,60.469475,3.3444748
59.75,59.986557,0.236557
56.5625,60.25644,3.6939392
56.4375,59.6494,3.2118988
59.875,59.47541,0.39958954
58.75,59.948334,1.1983337
60.9375,60.041016,0.8964844
67.3125,60.30804,7.0044594
59.25,61.37503,2.1250305
58.0625,61.028725,2.9662247
61.125,60.72274,0.40225983
58.0625,61.229477,3.166977
58.0625,60.723373,2.6608734
61.875,60.13087,1.7441292
60.125,61.19961,1.0746117
59.75,61.80092,2.0509186
61.625,61.40956,0.21543884
65.4375,61.258514,4.1789856
58.5625,62.009224,3.446724
61.0625,60.86685,0.1956482
60.625,61.82138,1.1963806
59.6875,61.642616,1.9551163
60.75,61.318584,0.56858444
60.1875,61.80464,1.6171417
60.75,61.630493,0.88049316
60.8125,61.35839,0.5458908
59.375,61.85822,2.4832191
59.9375,61.58996,1.6524582
59.5625,61.168472,1.6059723
57.6875,60.956978,3.2694778
59.75,60.231464,0.4814644
58.375,60.687386,2.3123856
61.25,60.513363,0.7366371
56.3125,60.405357,4.0928574
58.8125,60.01992,1.2074203
57.3125,60.506763,3.1942635
59.0,59.545498,0.5454979
62.6875,59.755066,2.932434
58.1875,60.196632,2.0091324
60.8125,59.86805,0.9444504
56.6875,60.243973,3.5564728
58.1875,60.343307,2.1558075
58.5625,60.290493,1.727993
59.4375,59.467987,0.03048706
59.5,60.312893,0.8128929
58.375,60.880753,2.5057526
61.5625,59.967934,1.5945663
58.4375,60.57695,2.13945
61.9375,60.5783,1.3591995
62.75,61.380676,1.3693237
60.5625,61.56095,0.99845123
62.5625,61.763397,0.7991028
61.0625,62.27491,1.21241
60.25,61.881107,1.6311073
59.6875,61.460938,1.7734375
59.3125,61.14244,1.8299408
60.75,61.2466,0.4966011
61.4375,61.60949,0.17198944
63.3125,61.89836,1.4141388
62.5,62.617126,0.117126465
62.0,62.34294,0.34294128
59.25,62.145287,2.8952866
61.75,61.385635,0.36436462
60.5,61.700573,1.200573
57.75,61.519592,3.7695923
58.1875,60.75429,2.5667915
